PO #,Description,Vendor,Organization,Department,Buyer,Status,Sent Date,Total,Duplicate Count
01GO-NV25-23300,THE TECH CENTER - 9400 GATEWAY,THE TECHNOLOGY CENTER INC,Governor's Office,Governor's Finance Office,Brittany Howe,3PS - Sent,10/01/2024,"$3,700.00",2
03AG-NV20-2549,Filing Cabinets,Staples Advantage,Attorney General's Office,Attorney General's Office,Heather Moon,3PCO - Closed,07/27/2019,"$14,509.68",2
08DOA-NV20-2708,VXRAIL500 P570 HYPRID,EMC Corporation,Department of Administration,OCIO,Eric Helsing,3PCO - Closed,08/29/2019,"$59,649.37",2
08DOA-NV20-2953,Varidesks,VariSales Corp,Department of Administration,OCIO,Gail Burchett,3PCO - Closed,09/23/2019,"$6,044.85",2
08DOA-NV20-3236,HYUNDAI SANTA FE,Carson Car Center Hyundai,Department of Administration,Fleet Services Division,Heather Moon,3PCO - Closed,10/24/2019,"$82,310.75",2
08DOA-NV21-6045,CIS Partnership Aggregate Buy Program - 64955,"The Escal Institute of Advanced Technologies, Inc. dba SANS Institute",Department of Administration,OCIO,Marti Marsh,3PCR - Complete Receipt,08/14/2020,"$226,803.00",5
08DOA-NV22-11481,Snow Plow ,MICHAEL HOHL MOTOR COMPANY,Department of Administration,State Public Works Division,Keri Terra,3PCR - Complete Receipt,04/13/2022,"$10,244.50",2
08DOA-NV24-20072,2024 Nissan Altima 157501,United Nissan of Reno,Department of Administration,Fleet Services Division,Heather Moon,3PCR - Complete Receipt,11/28/2023,"$25,764.75",2
08DOA-NV24-20644,2024 CHEVROLET SILVERADO WITH BOX,Champion Chevrolet,Department of Administration,Fleet Services Division,Heather Moon,3PS - Sent,01/23/2024,"$134,788.50",2
08DOA-NV24-20807,Microsoft Azure Administrator Course,Global Knowledge Training LLC,Department of Administration,OCIO,Sara Johnson,3PS - Sent,02/05/2024,"$2,595.00",2
10TCA-NV19-1773,Highway Maps,"Monarch Litho, Inc.",Department of Tourism And Cultural Affairs,Division of Tourism,Annette Morfin,3PCO - Closed,01/24/2019,"$98,109.14",2
24VS-NV19-1823,Beds,"Medline Industries, Inc.",Department of Veterans Services,Department of Veterans Services,Teri Becker,3PCO - Closed,02/13/2019,"$273,708.92",3
40DHHS-NV19-2402,Misc Grainger,Grainger,Department of Human Services,Division of Child and Family Services,Heather Moon,3PCO - Closed,06/25/2019,"$13,955.27",2
40DHHS-NV20-2816,HP Elite X2 1013 G3,HP Inc.,Department of Human Services,Public and Behavioral Health,Eric Helsing,3PCO - Closed,09/11/2019,"$1,912.55",2
40DHHS-NV20-3209,HP EliteBook 850 G6,HP Inc.,Department of Human Services,Public and Behavioral Health,Eric Helsing,3PCO - Closed,10/22/2019,"$1,503.00",2
40DHHS-NV20-3675:107,Successful Exec Data Conversion,Protech Solutions,Department of Human Services,Social Services,Kiersten Gallagher,3PS - Sent,12/13/2024,$.00,2
40DHHS-NV20-3819,"Promotional Items, Misc.","4imprint, Inc.",Department of Human Services,Aging and Disability Services Division,Annette Morfin,3PCO - Closed,12/14/2019,"$5,904.42",2
40DHHS-NV20-4555,Envelopes,Cenveo,Department of Human Services,Social Services,Annette Morfin,3PCO - Closed,02/20/2020,"$10,321.88",2
40DHHS-NV22-9299:6,E212 March third release,Southland Envelope Company,Department of Human Services,Social Services,Svetlana Grabelnikova,3PCO - Closed,03/22/2022,"$11,910.00",2
43ADG-NV23-12483,Radio Equip BlackPoint LLC,BlackPoint LLc,Adjutant General,Emergency Management,Joel Smedes,3PCR - Complete Receipt,08/05/2022,"$7,886.27",2
44DOC-NV19-1692,Hobart Mixer Repair Parts,Hobart Service/ITW Food Group,Department of Corrections,Department of Corrections,Teri Becker,3PCO - Closed,12/25/2018,"$8,327.22",2
44DOC-NV19-1980,"Razor, Toothbrush & Paste, Soap",CharmTex,Department of Corrections,Department of Corrections,Nancy Feser,3PCO - Closed,03/28/2019,"$12,171.00",2
44DOC-NV20-2756,Alfalfa Hay,Berrington Custom Haystacking & Transport Inc. ,Department of Corrections,Department of Corrections,Annette Morfin,3PCO - Closed,08/30/2019,"$339,145.85",4
44DOC-NV20-4232,Food Wrap,Veritiv Operating Company,Department of Corrections,Department of Corrections,Gail Burchett,3PCR - Complete Receipt,01/18/2020,"$14,497.42",2
44DOC-NV21-6025,Alfalfa Hay,Edward Viera,Department of Corrections,Department of Corrections,Annette Morfin,3PS - Sent,08/14/2020,"$216,172.93",2
44DOC-NV21-6092,Miscellaneous Forms,Silver State Industries,Department of Corrections,Department of Corrections,Annette Morfin,3PS - Sent,08/14/2020,"$9,776.00",4
44DOC-NV24-20490,R70982 - INMATE CLOTHING ,Silver State Industries,Department of Corrections,Department of Corrections,Mike Davis,3PCR - Complete Receipt,01/08/2024,"$2,210.40",2
44DOC-NV24-21635,CPR Cards 24-PST-01S,REMSA - Regional Emergency Medical Services,Department of Corrections,Department of Corrections,Daniel Kibbe,3PS - Sent,04/25/2024,$884.00,2
44DOC-NV24-RPA826,ESP - Bath Lumber Blanket PO,Bath Lumber Company,Department of Corrections,Department of Corrections,Elizabeth Pritchard,3PCR - Complete Receipt,02/16/2024,$487.88,2
44DOC-NV24-RPA837,ESP - C&B Auto Blanket PO,C & B Auto Parts LLC,Department of Corrections,Department of Corrections,Elizabeth Pritchard,3PCR - Complete Receipt,03/04/2024,$492.24,2
55AGR-NV19-1703,Vetmax Gold Trich Detection Kit,Life Technologies Corporation,Department of Agriculture,Department of Agriculture,Annette Morfin,3PCO - Closed,01/09/2019,"$8,410.50",2
55AGR-NV19-2161,PCR System,Remel Inc,Department of Agriculture,Department of Agriculture,Annette Morfin,3PCO - Closed,05/09/2019,"$35,259.63",2
55AGR-NV20-3059,Office Cubicles,"Machabee Office Environments, Inc",Department of Agriculture,Department of Agriculture,Gail Burchett,3PCO - Closed,10/08/2019,"$6,606.10",2
70CNR-NV19-2009,Gateway,Remote Control Technology,Department of Conservation and Natural Resources,Parks Division,Gail Burchett,3PCO - Closed,04/04/2019,"$10,417.00",2
70CNR-NV19-2088,Repairs EX55640,Team Ford Lincoln,Department of Conservation and Natural Resources,Forestry Division,Heather Moon,3PCO - Closed,04/23/2019,"$4,937.87",2
70CNR-NV19-2166,Hellfire,Grainger,Department of Conservation and Natural Resources,Forestry Division,Heather Moon,3PCO - Closed,05/09/2019,"$9,600.00",4
70CNR-NV19-2298,Brochures and Passport Booklets,Progressive Print Solutions,Department of Conservation and Natural Resources,Parks Division,Annette Morfin,3PCO - Closed,06/07/2019,"$43,158.48",2
70CNR-NV19-2378,Misc Grainger,Grainger,Department of Conservation and Natural Resources,Forestry Division,Heather Moon,3PCO - Closed,06/20/2019,"$7,195.27",2
70CNR-NV19-2428:2,NHP-2019-02,Nevada Bugs and Butterflies,Department of Conservation and Natural Resources,Natural Heritage,Gideon Davis,3PCO - Closed,09/11/2019,"$1,116.32",2
70CNR-NV20-2855,Surface Tablets,"Zones, Inc.",Department of Conservation and Natural Resources,Environmental Protection,Marti Marsh,3PCO - Closed,09/11/2019,"$3,192.48",2
70CNR-NV20-3110,Required Aircraft Parts,"Aero Products Component Services, Inc.",Department of Conservation and Natural Resources,Forestry Division,James Scott,3PCO - Closed,10/09/2019,"$1,232.55",2
70CNR-NV20-3363,EX 66034 Windshield Replacement,FAST GLASS INC.,Department of Conservation and Natural Resources,Forestry Division,Rob Stults,3PCO - Closed,10/31/2019,$210.00,2
70CNR-NV20-3584,Paint for Crew Carrier EX55626,C & B Auto Parts LLC,Department of Conservation and Natural Resources,Forestry Division,Colleen Lafferty,3PCO - Closed,11/14/2019,"$4,629.11",2
70CNR-NV20-3694,Tree Marking Paint,Bath Lumber Company,Department of Conservation and Natural Resources,Forestry Division,Benjamin Bolton,3PCO - Closed,11/25/2019,$427.67,2
70CNR-NV20-3707,Brake Pads for EX58938,FACTORY MOTOR PARTS CO,Department of Conservation and Natural Resources,Forestry Division,James Farr,3PCO - Closed,12/02/2019,$212.01,2
70CNR-NV20-3980,powermax cutter ,"Airgas USA, LLC",Department of Conservation and Natural Resources,Forestry Division,Taylor Chambers,3PCO - Closed,12/26/2019,$74.20,2
70CNR-NV20-4050,Nursery Tree and Shrub Seed,"F.W. Schumacher Co., INC",Department of Conservation and Natural Resources,Forestry Division,Ryan Sharrer,3PCO - Closed,01/02/2020,$516.64,2
70CNR-NV20-4491:19,OTC - Absorption Ozone Analyzer and Related Items,"Teledyne Instruments, Inc. ",Department of Conservation and Natural Resources,Environmental Protection,Annette Morfin,3PS - Sent,02/27/2024,"$3,850.00",2
70CNR-NV20-5479:2,NDF Fire Replacement Fire Boots,Grainger,Department of Conservation and Natural Resources,Forestry Division,Rob Stults,3PCO - Closed,06/18/2020,"$187,830.00",2
70CNR-NV21-6634,Vermeer BC1800XL Chipper part: Jack Mount,"Vermeer Sales Southwest, Inc",Department of Conservation and Natural Resources,Forestry Division,Alan  Castner,3PCO - Closed,10/08/2020,$959.33,2
70CNR-NV21-6673,Ex 48278 Diagnostics,McCandless International Trucks of Nevada,Department of Conservation and Natural Resources,Forestry Division,Ainar Johansen,3PCO - Closed,10/13/2020,"$5,395.09",2
70CNR-NV21-6889,Kenworth Crew Vehicle - Repower,Cummins Sales and Service,Department of Conservation and Natural Resources,Forestry Division,Heather Moon,3PCO - Closed,11/16/2020,"$41,313.90",2
70CNR-NV21-7401,Mathew Williams Physical,Nevada Occupational Health Center,Department of Conservation and Natural Resources,Forestry Division,Chad Mena,3PCO - Closed,01/13/2021,$895.00,2
70CNR-NV21-8780,ECC Drop Hitch for KW CCV's,C & B Auto Parts LLC,Department of Conservation and Natural Resources,Forestry Division,Jared Pekuri,3PCO - Closed,06/08/2021,$428.56,2
70CNR-NV21-8942,Seed,Granite Seed Company,Department of Conservation and Natural Resources,Forestry Division,Nancy Feser,3PCO - Closed,06/29/2021,"$8,892.41",2
70CNR-NV22-10295,"JCC Replacement tires for trailers EX77702, EX76846, EX77704",Purcell Tire & Service Centers,Department of Conservation and Natural Resources,Forestry Division,Scott Benner,3PCO - Closed,12/15/2021,"$1,862.19",2
70CNR-NV22-10742,EX43201 Parts (HCC),Idealease of Reno Sparks/SSI,Department of Conservation and Natural Resources,Forestry Division,Eric Van Cleemput,3PCO - Closed,01/20/2022,$946.85,2
70CNR-NV22-11635,Glow plugs for EX55638,NAPA Auto Parts,Department of Conservation and Natural Resources,Forestry Division,James Farr,3PCO - Closed,04/25/2022,$256.58,2
70CNR-NV22-11751,CCC Filters for Camp Stock April 2022,NAPA Auto Parts,Department of Conservation and Natural Resources,Forestry Division,Colleen Lafferty,3PCO - Closed,05/04/2022,"$1,343.52",2
70CNR-NV22-9669,WCC Propane Tanks and Valves,"Wells Propane, Inc",Department of Conservation and Natural Resources,Forestry Division,Sarai Berumen,3PCO - Closed,09/22/2021,"$1,020.00",2
70CNR-NV23-12309,Aircraft Caddy,"DJ Products, Inc.",Department of Conservation and Natural Resources,Forestry Division,Nancy Feser,3PCO - Closed,07/12/2022,"$7,580.00",2
70CNR-NV23-12525,Ex65633 tires,"Les Schwab Tire Centers of Nevada, Inc.",Department of Conservation and Natural Resources,Forestry Division,Alex Jares,3PCO - Closed,08/10/2022,"$1,131.53",2
72DOW-NV19-1176:10,Mountain Lion GPS Collar - Pat Jackson,VECTRONIC Aerospace Inc.,Department of Wildlife,Department of Wildlife,Bradley Tait,3PCO - Closed,08/24/2019,"$13,275.20",2
72DOW-NV19-2026,Hydroblaster,"Hydro Engineering, Inc.",Department of Wildlife,Department of Wildlife,Gail Burchett,3PCO - Closed,04/09/2019,"$21,485.00",3
72DOW-NV19-2086,Galvanized Posts,MSM Sheet Metal ,Department of Wildlife,Department of Wildlife,Teri Becker,3PCO - Closed,04/23/2019,"$40,030.00",2
