"Bid Solicitation #","Organization Name","Contract #","Buyer","Description","Bid Opening Date","Bid Holder List","Awarded Vendor(s)","Status","Alternate Id"
"24VS-S3459","Department of Veterans Services","","Heather Moon","Executive Chef Services","09/08/2025 14:00:00","","","Sent",""
"72DOW-S3458","Department of Wildlife","","Jennifer Thomas","Water Tank - Habitat - 2026","09/17/2025 14:00:00","/bso/external/bidAckList.sdo","","Sent",""
"30DOE-S3449","Department of Education","","Kaylene Hoyt","Pupil Centered Funding Plan (PCFP) Effectiveness - Competency Based Education","09/26/2025 17:00:00","","","Sent",""
"40DHHS-S3448","Department of Human Services","","Bobbie Jo Guillot","Backup Generator Services","10/06/2025 12:00:00","","","Sent",""
"69CRC-S3446","Colorado River Commission","","Gina Goodman","CRCBC-06 15kV Power Circuit Breakers","09/25/2025 14:00:00","","","Sent",""
"69CRC-S3445","Colorado River Commission","","Gina Goodman","CRCBC-05 69kV Circuit Breakers","09/25/2025 14:00:00","","","Sent",""
"24VS-S3442","Department of Veterans Services","","Jacob  Clodfelter","Grant Subaward","09/19/2025 15:00:00","","","Sent",""
"06CO-S3440","Controller's Office","","Joel Smedes","Debt Collection Services","09/16/2025 14:00:00","","","Sent",""
"40DHHS-S3439","Department of Human Services","","Denise Frohlich","Child Parent Psychotherapy Learning Collaborative Trainer ","08/21/2025 09:59:00","","Award in Process","Opened",""
"10TCA-S3438","Department of Tourism And Cultural Affairs","","Annette Morfin","Printing, Binding and Mailing of Nevada  Magazine","09/16/2025 13:00:00","","","Sent",""
"65DPS-S3437","Department of Public Safety","","Heather Moon","Livescan Machines","09/15/2025 12:00:00","/bso/external/bidAckList.sdo","","Sent",""
"44DOC-S3436","Department of Corrections","","Annette Morfin","Alfalfa Hay","08/19/2025 13:00:00","","Award in Process","Opened","RQS 440 R114373"
"43ADG-S3435","Adjutant General","","Theresa Sianez","Camp Washoe Rope Course Demolition","08/29/2025 23:59:59","","","Sent",""
"43ADG-S3434","Adjutant General","","Theresa Sianez","Fallon Concrete Paid Replacement","08/29/2025 23:59:59","","","Sent",""
"81DMV-S3433","Department of Motor Vehicles","","Heather Moon","License Plate Shipping Services","08/26/2025 14:00:00","","","Sent",""
"90DETR-S3431","Department of Employment, Training and Rehabilitation","","Joel Wixon","DETR State Administrative Office Elevator","09/02/2025 16:00:00","","","Sent",""
"70CNR-S3430","Department of Conservation and Natural Resources","","Nancy Feser","Helicopter Part, Maintenance, and Repair Services","08/27/2025 14:00:00","","","Sent",""
"65DPS-S3426","Department of Public Safety","","Kasen Cornmesser","Janitorial Services - Jean NV","08/13/2025 09:00:00","","Award in Process","Opened",""
"90DETR-S3423","Department of Employment, Training and Rehabilitation","","Joel Wixon","Customer Experience Survey Development & Management","09/16/2025 16:00:00","","","Sent",""
