"Contract #","Bid Solicitation #","Description","Vendor","Type Code","Dollars Spent to Date","Organization","Status","Begin Date","End Date"
"BRDCOM-NV23-16122","","Professional Licensing Solution ","GovSense, LLC","","$0.00","Independent Boards and Commissions","3PS - Sent","03/14/2023","02/28/2027"
"99SWC-NV26-26028","","Body Armor and Ballistic Resistant Products (NASPO - CO)","Survival Armor, Inc","","$0.00","Statewide Contracts","3PS - Sent","05/06/2025","04/30/2027"
"99SWC-NV26-25911","","Fleet, Alternative Fuel and Police Vehicles","Gallagher Ford","","$0.00","Statewide Contracts","3PS - Sent","07/08/2025","06/30/2027"
"99SWC-NV26-25910","","Fleet, Alternative Fuel and Police Vehicles","FINDLAY CHEVROLET","","$0.00","Statewide Contracts","3PS - Sent","07/08/2025","06/30/2027"
"99SWC-NV26-25909","","Fleet, Alternative Fuel and Police Vehicles","Corwin Buick GMC Cadillac & Isuzu Trucks of Reno","","$0.00","Statewide Contracts","3PS - Sent","07/08/2025","06/30/2027"
"99SWC-NV26-25908","","Fleet, Alternative Fuel and Police Vehicles","RO Bus Sales","","$8,574.23","Statewide Contracts","3PS - Sent","07/08/2025","06/30/2027"
"99SWC-NV26-25907","","Fleet, Alternative Fuel and Police Vehicles","Capital Ford Mazda Hyundai","","$0.00","Statewide Contracts","3PS - Sent","07/08/2025","06/30/2027"
"99SWC-NV26-25906","","Fleet, Alternative Fuel and Police Vehicles","Corwin Ford Reno","","$0.00","Statewide Contracts","3PS - Sent","07/08/2025","06/30/2027"
"99SWC-NV25-25671","","Punchout Catalog","Pacific Star Corporation","","$0.00","Statewide Contracts","3PS - Sent","08/14/2024","02/28/2029"
"99SWC-NV25-25634","","Fleet, Alternative Fuel and Police Vehicles","Las Vegas Bus Sales","","$0.00","Statewide Contracts","3PS - Sent","07/01/2025","06/30/2027"
"99SWC-NV25-25633","","Fleet, Alternative Fuel and Police Vehicles","Carson Dodge Chrysler, Inc","","$0.00","Statewide Contracts","3PS - Sent","07/01/2025","06/30/2027"
"99SWC-NV25-25632","","Fleet, Alternative Fuel and Police Vehicles","Tesla, Inc.","","$0.00","Statewide Contracts","3PS - Sent","07/01/2025","06/30/2027"
"99SWC-NV25-25631","","Fleet, Alternative Fuel and Police Vehicles","Champion Chevrolet","","$0.00","Statewide Contracts","3PS - Sent","07/01/2025","06/30/2027"
"99SWC-NV25-25630","","Fleet, Alternative Fuel and Police Vehicles","GAUDIN FORD","","$0.00","Statewide Contracts","3PS - Sent","07/01/2025","06/30/2027"
"99SWC-NV25-25629","","Fleet, Alternative Fuel and Police Vehicles","Carson City Toyota Scion","","$34,107.25","Statewide Contracts","3PS - Sent","07/01/2025","06/30/2027"
"99SWC-NV25-25628","","Fleet, Alternative Fuel and Police Vehicles","United Nissan of Reno","","$0.00","Statewide Contracts","3PS - Sent","07/01/2025","06/30/2027"
"99SWC-NV25-25627","","Fleet, Alternative Fuel and Police Vehicles","MICHAEL HOHL MOTOR COMPANY","","$0.00","Statewide Contracts","3PS - Sent","07/01/2025","06/30/2027"
"99SWC-NV25-25625","","Fleet, Alternative Fuel and Police Vehicles","Carson Car Center Hyundai","","$0.00","Statewide Contracts","3PS - Sent","07/01/2025","06/30/2027"
"99SWC-NV25-25624","","Fleet, Alternative Fuel and Police Vehicles","Bill Pearce Courtesy Honda","","$0.00","Statewide Contracts","3PS - Sent","07/01/2025","06/30/2027"
"99SWC-NV25-25623","","Fleet, Alternative Fuel and Police Vehicles","Ford Country","","$0.00","Statewide Contracts","3PS - Sent","07/01/2025","06/30/2027"
"99SWC-NV25-25409","","Temporary Employment Services","Manpower Temporary Services-Northern Nevada","","$105,136.32","Statewide Contracts","3PS - Sent","07/01/2025","06/30/2030"
"99SWC-NV25-25408","","Temporary Employment Services","Marathon Staffing Group, Inc.","","$18,140.11","Statewide Contracts","3PS - Sent","07/01/2025","06/30/2030"
"99SWC-NV25-25407","","Temporary Employment Services","22nd Century Technologies, Inc. ","","$0.00","Statewide Contracts","3PS - Sent","07/01/2025","06/30/2030"
"99SWC-NV25-25330","","Fire Fuels Reduction & Seed Restoration ","Walker Basin Conservancy","","$0.00","Statewide Contracts","3PS - Sent","04/08/2025","07/07/2028"
"99SWC-NV25-25329","","Fire Fuels Reduction & Seed Restoration ","Burnbot, INC.","","$0.00","Statewide Contracts","3PS - Sent","05/13/2025","04/07/2028"
"99SWC-NV25-25281","","Punchout Catalog","Amazon Capital Services, Inc.","","$1,052,542.71","Statewide Contracts","3PS - Sent","05/15/2025","05/05/2030"
"99SWC-NV25-25277","","Public Safety and Military Gear and Equipment (SOURCEWELL - MN)","CopsPlus","","$0.00","Statewide Contracts","3PS - Sent","04/23/2025","03/25/2028"
"99SWC-NV25-25086","","Passenger Vehicle Rental and Box Truck Rental (NASPO)","The Hertz Corporation ","","$0.00","Statewide Contracts","3PS - Sent","04/09/2025","08/01/2026"
"99SWC-NV25-25079","","Maintenance, Repair, and Operations (MRO) Supplies (OMNIA)","Lawson Products","","$0.00","Statewide Contracts","3PS - Sent","04/04/2025","10/31/2027"
"99SWC-NV25-24942","","Public Safety Video Systems (NASPO)","Motorola Solutions Inc","","$0.00","Statewide Contracts","3PS - Sent","04/04/2024","06/30/2028"
"99SWC-NV25-24892","","Vehicle Lifts and Garage Associated Equipment (NASPO)","ARI Phoenix, Inc.","","$0.00","Statewide Contracts","3PS - Sent","04/20/2023","03/31/2028"
"99SWC-NV25-24891","","Legal Research","West Publishing Corporation","","$0.00","Statewide Contracts","3PS - Sent","03/28/2025","03/31/2029"
"99SWC-NV25-24872","","Punchout Catalog","Medline Industries, LP","","$3,815.11","Statewide Contracts","3PS - Sent","03/03/2023","12/31/2026"
"99SWC-NV25-24648","","Vehicle Lifts (Sourcewell)","Mohawk Lifts, LLC","","$0.00","Statewide Contracts","3PS - Sent","02/12/2024","02/12/2028"
"99SWC-NV25-24628","","Equipment Rental Services (NASPO ValuePoint -  Vermont)","Sunbelt Rentals, Inc. ","","$0.00","Statewide Contracts","3PS - Sent","03/04/2025","03/16/2026"
"99SWC-NV25-24544","","Body Armor (Sourcewell)","U.S. ARMOR CORPORATION","","$0.00","Statewide Contracts","3PS - Sent","02/19/2025","12/23/2028"
"99SWC-NV25-24432","","Online Auction Services (NASPO - New Mexico)","JJ KANE AUCTIONEERS","","$85,000.00","Statewide Contracts","3PS - Sent","10/05/2022","09/01/2026"
"99SWC-NV25-24322","","Punchout Catalog","VWR INTERNATIONAL LLC ","","$553.72","Statewide Contracts","3PS - Sent","03/01/2024","02/28/2029"
"99SWC-NV25-24212","","Office Supplies (Sourcewell)","Staples Advantage","","$4,359.41","Statewide Contracts","3PS - Sent","02/03/2025","02/02/2029"
"99SWC-NV25-24195","","SOFTWARE AND SAAS SOLUTIONS (OMNIA)","Avaya Inc.","","$89,120.00","Statewide Contracts","3PS - Sent","04/02/2025","12/31/2025"
"99SWC-NV25-24193","","Punchout Catalog","MSC Industrial Supply Co.","","$8,441.00","Statewide Contracts","3PS - Sent","09/01/2024","08/31/2026"
"99SWC-NV25-24174","","Punchout Catalog","Grainger","","$1,841,718.63","Statewide Contracts","3PS - Sent","09/01/2024","08/31/2026"
"99SWC-NV25-24173","","Punchout Catalog","Lawson Products","","$0.00","Statewide Contracts","3PS - Sent","09/01/2024","08/31/2026"
"99SWC-NV25-24172","","Punchout Catalog","Global Industrial Company","","$18.00","Statewide Contracts","3PS - Sent","09/01/2024","08/31/2026"
