PO #,PO #,Description,Vendor,Organization,Department,Buyer,Status,Sent Date,Total
https://nevadaepro.com/bso/external/purchaseorder/poSummary.sdo?docId=99SWC-NV25-25281&releaseNbr=697&external=true&parentUrl=close,PO #99SWC-NV25-25281:697,06-16-2025 Amazon IT Building 3A,"Amazon Capital Services, Inc.",Department of Human Services,Public and Behavioral Health,John Salvador,3PS - Sent,06/16/2025,$66.19
https://nevadaepro.com/bso/external/purchaseorder/poSummary.sdo?docId=99SWC-NV25-25281&releaseNbr=698&external=true&parentUrl=close,PO #99SWC-NV25-25281:698,G2B #99SWC-NV25-25281,"Amazon Capital Services, Inc.",Governor's Office,Governor's Finance Office,Alexandra Markwardt,3PCR - Complete Receipt,06/16/2025,$276.58
https://nevadaepro.com/bso/external/purchaseorder/poSummary.sdo?docId=99SWC-NV25-25281&releaseNbr=699&external=true&parentUrl=close,PO #99SWC-NV25-25281:699,CYC25669 JB Sporting Equip G2B #99SWC-NV25-25281,"Amazon Capital Services, Inc.",Department of Human Services,Division of Child and Family Services,Kelly Funk,3PCR - Complete Receipt,06/16/2025,"$1,592.37"
https://nevadaepro.com/bso/external/purchaseorder/poSummary.sdo?docId=99SWC-NV25-25281&releaseNbr=700&external=true&parentUrl=close,PO #99SWC-NV25-25281:700,G2B #99SWC-NV25-25281,"Amazon Capital Services, Inc.",Department of Education,Department of Education,Lisa Morigeau,3PS - Sent,06/16/2025,$261.68
https://nevadaepro.com/bso/external/purchaseorder/poSummary.sdo?docId=99SWC-NV25-25281&releaseNbr=701&external=true&parentUrl=close,PO #99SWC-NV25-25281:701,G2B #99SWC-NV25-25281,"Amazon Capital Services, Inc.",Department of Education,Department of Education,Lisa Morigeau,3PS - Sent,06/16/2025,$716.62
https://nevadaepro.com/bso/external/purchaseorder/poSummary.sdo?docId=99SWC-NV25-25281&releaseNbr=702&external=true&parentUrl=close,PO #99SWC-NV25-25281:702,G2B #99SWC-NV25-25281,"Amazon Capital Services, Inc.",Department of Education,Department of Education,Lisa Morigeau,3PS - Sent,06/16/2025,$205.88
https://nevadaepro.com/bso/external/purchaseorder/poSummary.sdo?docId=99SWC-NV25-25281&releaseNbr=703&external=true&parentUrl=close,PO #99SWC-NV25-25281:703,Collections Supplies,"Amazon Capital Services, Inc.",Department of Tourism And Cultural Affairs,Museums and History Division,Ramit Ali,3PS - Sent,06/16/2025,"$1,263.90"
https://nevadaepro.com/bso/external/purchaseorder/poSummary.sdo?docId=99SWC-NV25-25281&releaseNbr=704&external=true&parentUrl=close,PO #99SWC-NV25-25281:704,G2B #99SWC-NV25-25281,"Amazon Capital Services, Inc.",Department of Tourism And Cultural Affairs,Museums and History Division,Tiane Muniz,3PS - Sent,06/16/2025,$426.62
https://nevadaepro.com/bso/external/purchaseorder/poSummary.sdo?docId=99SWC-NV25-25281&releaseNbr=705&external=true&parentUrl=close,PO #99SWC-NV25-25281:705,G2B #99SWC-NV25-25281,"Amazon Capital Services, Inc.",Department of Public Safety,DPS Director's Office,Ashley Aaron,3PS - Sent,06/16/2025,$219.42
https://nevadaepro.com/bso/external/purchaseorder/poSummary.sdo?docId=99SWC-NV25-25281&releaseNbr=706&external=true&parentUrl=close,PO #99SWC-NV25-25281:706,G2B #99SWC-NV25-25281,"Amazon Capital Services, Inc.",Department of Public Safety,DPS Director's Office,Ashley Aaron,3PS - Sent,06/16/2025,$82.69
https://nevadaepro.com/bso/external/purchaseorder/poSummary.sdo?docId=99SWC-NV25-25281&releaseNbr=707&external=true&parentUrl=close,PO #99SWC-NV25-25281:707,G2B #99SWC-NV25-25281,"Amazon Capital Services, Inc.",Department of Education,Department of Education,Rick Derry,3PS - Sent,06/17/2025,$838.32
https://nevadaepro.com/bso/external/purchaseorder/poSummary.sdo?docId=99SWC-NV25-25281&releaseNbr=708&external=true&parentUrl=close,PO #99SWC-NV25-25281:708,G2B #99SWC-NV25-25281,"Amazon Capital Services, Inc.",Department of Education,Department of Education,Lisa Morigeau,3PS - Sent,06/17/2025,"$1,119.10"
https://nevadaepro.com/bso/external/purchaseorder/poSummary.sdo?docId=99SWC-NV25-25281&releaseNbr=709&external=true&parentUrl=close,PO #99SWC-NV25-25281:709,ESP - Amazon - Plumbing Parts,"Amazon Capital Services, Inc.",Department of Corrections,Department of Corrections,Jennifer Johnson,3PCR - Complete Receipt,06/17/2025,$487.80
https://nevadaepro.com/bso/external/purchaseorder/poSummary.sdo?docId=99SWC-NV25-25281&releaseNbr=710&external=true&parentUrl=close,PO #99SWC-NV25-25281:710,06-17-2025 Amazon Stein 3A Token,"Amazon Capital Services, Inc.",Department of Human Services,Public and Behavioral Health,John Salvador,3PS - Sent,06/17/2025,$645.22
https://nevadaepro.com/bso/external/purchaseorder/poSummary.sdo?docId=99SWC-NV25-25281&releaseNbr=711&external=true&parentUrl=close,PO #99SWC-NV25-25281:711,G2B #99SWC-NV25-25281,"Amazon Capital Services, Inc.",Department of Human Services,Division of Child and Family Services,Candy Bradley,3PS - Sent,06/17/2025,"$1,564.24"
https://nevadaepro.com/bso/external/purchaseorder/poSummary.sdo?docId=99SWC-NV25-25281&releaseNbr=712&external=true&parentUrl=close,PO #99SWC-NV25-25281:712,G2B #99SWC-NV25-25281,"Amazon Capital Services, Inc.",Department of Human Services,Division of Child and Family Services,Candy Bradley,3PS - Sent,06/17/2025,$612.48
https://nevadaepro.com/bso/external/purchaseorder/poSummary.sdo?docId=99SWC-NV25-25281&releaseNbr=713&external=true&parentUrl=close,PO #99SWC-NV25-25281:713,G2B #99SWC-NV25-25281,"Amazon Capital Services, Inc.",Department of Human Services,Division of Child and Family Services,Kylie George,3PS - Sent,06/17/2025,$45.27
https://nevadaepro.com/bso/external/purchaseorder/poSummary.sdo?docId=99SWC-NV25-25281&releaseNbr=714&external=true&parentUrl=close,PO #99SWC-NV25-25281:714,WR 38745,"Amazon Capital Services, Inc.",Department of Conservation and Natural Resources,Parks Division,Charlie Wells,3PCR - Complete Receipt,06/17/2025,"$1,099.99"
https://nevadaepro.com/bso/external/purchaseorder/poSummary.sdo?docId=99SWC-NV25-25281&releaseNbr=715&external=true&parentUrl=close,PO #99SWC-NV25-25281:715,G2B #99SWC-NV25-25281,"Amazon Capital Services, Inc.",Department of Veterans Services,Department of Veterans Services,James Limon,3PS - Sent,06/17/2025,$155.76
https://nevadaepro.com/bso/external/purchaseorder/poSummary.sdo?docId=99SWC-NV25-25281&releaseNbr=716&external=true&parentUrl=close,PO #99SWC-NV25-25281:716,Belts for emergency washer repair,"Amazon Capital Services, Inc.",Department of Corrections,Department of Corrections,Jennifer Kaufman,3PCR - Complete Receipt,06/17/2025,$85.76
https://nevadaepro.com/bso/external/purchaseorder/poSummary.sdo?docId=99SWC-NV25-25281&releaseNbr=717&external=true&parentUrl=close,PO #99SWC-NV25-25281:717,G2B #99SWC-NV25-25281,"Amazon Capital Services, Inc.",Department of Administration,OCIO,Erin Lehman,3PCR - Complete Receipt,06/17/2025,$33.23
https://nevadaepro.com/bso/external/purchaseorder/poSummary.sdo?docId=99SWC-NV25-25281&releaseNbr=718&external=true&parentUrl=close,PO #99SWC-NV25-25281:718,G2B #99SWC-NV25-25281,"Amazon Capital Services, Inc.",Department of Taxation,Department of Taxation,Kaleigh Pellissier,3PCR - Complete Receipt,06/17/2025,$950.34
https://nevadaepro.com/bso/external/purchaseorder/poSummary.sdo?docId=99SWC-NV25-25281&releaseNbr=719&external=true&parentUrl=close,PO #99SWC-NV25-25281:719,G2B #99SWC-NV25-25281.06.16.25,"Amazon Capital Services, Inc.",Department of Human Services,Division of Child and Family Services,Rosa Macharg,3PS - Sent,06/17/2025,$195.37
https://nevadaepro.com/bso/external/purchaseorder/poSummary.sdo?docId=99SWC-NV25-25281&releaseNbr=720&external=true&parentUrl=close,PO #99SWC-NV25-25281:720,G2B #99SWC-NV25-25281,"Amazon Capital Services, Inc.",Governor's Office of Economic Development,Governor's Office of Economic Development,Amber Winig,3PS - Sent,06/17/2025,$26.99
https://nevadaepro.com/bso/external/purchaseorder/poSummary.sdo?docId=99SWC-NV25-25281&releaseNbr=721&external=true&parentUrl=close,PO #99SWC-NV25-25281:721,G2B #99SWC-NV25-25281,"Amazon Capital Services, Inc.",Governor's Office of Economic Development,Governor's Office of Economic Development,Amber Winig,3PS - Sent,06/17/2025,$32.99
https://nevadaepro.com/bso/external/purchaseorder/poSummary.sdo?docId=99SWC-NV25-25281&releaseNbr=722&external=true&parentUrl=close,PO #99SWC-NV25-25281:722,G2B #99SWC-NV25-25281,"Amazon Capital Services, Inc.",Department of Conservation and Natural Resources,Parks Division,Edith Jordan,3PS - Sent,06/17/2025,$139.99
https://nevadaepro.com/bso/external/purchaseorder/poSummary.sdo?docId=99SWC-NV25-25281&releaseNbr=723&external=true&parentUrl=close,PO #99SWC-NV25-25281:723,GS-6062,"Amazon Capital Services, Inc.",Department of Conservation and Natural Resources,Parks Division,Nicki Kendrick,3PS - Sent,06/17/2025,$424.38
https://nevadaepro.com/bso/external/purchaseorder/poSummary.sdo?docId=99SWC-NV25-25281&releaseNbr=724&external=true&parentUrl=close,PO #99SWC-NV25-25281:724,wr-38743,"Amazon Capital Services, Inc.",Department of Conservation and Natural Resources,Parks Division,Ernest Cecil,3PCR - Complete Receipt,06/17/2025,$204.25
https://nevadaepro.com/bso/external/purchaseorder/poSummary.sdo?docId=99SWC-NV25-25281&releaseNbr=725&external=true&parentUrl=close,PO #99SWC-NV25-25281:725,Amazon Supply Order 6/17,"Amazon Capital Services, Inc.",Department of Conservation and Natural Resources,Parks Division,Nicole Jaquish,3PS - Sent,06/17/2025,$145.24
https://nevadaepro.com/bso/external/purchaseorder/poSummary.sdo?docId=99SWC-NV25-25281&releaseNbr=726&external=true&parentUrl=close,PO #99SWC-NV25-25281:726,G2B #99SWC-NV25-25281,"Amazon Capital Services, Inc.",Department of Conservation and Natural Resources,Parks Division,Devin Sonnenberg,3PS - Sent,06/17/2025,$197.00
https://nevadaepro.com/bso/external/purchaseorder/poSummary.sdo?docId=99SWC-NV25-25281&releaseNbr=727&external=true&parentUrl=close,PO #99SWC-NV25-25281:727,G2B #99SWC-NV25-25281,"Amazon Capital Services, Inc.",Department of Conservation and Natural Resources,Parks Division,Matthew Elmer,3PS - Sent,06/17/2025,$140.00
https://nevadaepro.com/bso/external/purchaseorder/poSummary.sdo?docId=99SWC-NV25-25281&releaseNbr=728&external=true&parentUrl=close,PO #99SWC-NV25-25281:728,G2B #99SWC-NV25-25281,"Amazon Capital Services, Inc.",Department of Public Safety,Parole Board,Hanna Branchcomb,3PS - Sent,06/17/2025,$489.00
https://nevadaepro.com/bso/external/purchaseorder/poSummary.sdo?docId=99SWC-NV25-25281&releaseNbr=729&external=true&parentUrl=close,PO #99SWC-NV25-25281:729,6-17-25 Jane Ferraris Ergo Eval Keyboard Tray,"Amazon Capital Services, Inc.",Department of Human Services,Public and Behavioral Health,Matthew Laruccia,3PS - Sent,06/18/2025,$212.65
https://nevadaepro.com/bso/external/purchaseorder/poSummary.sdo?docId=99SWC-NV25-25281&releaseNbr=730&external=true&parentUrl=close,PO #99SWC-NV25-25281:730,G2B #99SWC-NV25-25281/Amazon office supplies,"Amazon Capital Services, Inc.",Department of Wildlife,Department of Wildlife,Shannon Graham,3PS - Sent,06/18/2025,$244.20
https://nevadaepro.com/bso/external/purchaseorder/poSummary.sdo?docId=99SWC-NV25-25281&releaseNbr=731&external=true&parentUrl=close,PO #99SWC-NV25-25281:731,G2B #99SWC-NV25-25281,"Amazon Capital Services, Inc.",Governor's Office,Governor's Office of Federal Assistance,Leticia Chavez,3PCR - Complete Receipt,06/18/2025,$145.92
https://nevadaepro.com/bso/external/purchaseorder/poSummary.sdo?docId=99SWC-NV25-25281&releaseNbr=732&external=true&parentUrl=close,PO #99SWC-NV25-25281:732,G2B #99SWC-NV25-25281,"Amazon Capital Services, Inc.",Governor's Office,Governor's Office of Federal Assistance,Leticia Chavez,3PCR - Complete Receipt,06/18/2025,$47.92
https://nevadaepro.com/bso/external/purchaseorder/poSummary.sdo?docId=99SWC-NV25-25281&releaseNbr=733&external=true&parentUrl=close,PO #99SWC-NV25-25281:733,G2B #99SWC-NV25-25281,"Amazon Capital Services, Inc.",Department of Human Services,Division of Child and Family Services,Monica Montour,3PS - Sent,06/18/2025,"$1,447.69"
https://nevadaepro.com/bso/external/purchaseorder/poSummary.sdo?docId=99SWC-NV25-25281&releaseNbr=734&external=true&parentUrl=close,PO #99SWC-NV25-25281:734,G2B #99SWC-NV25-25281,"Amazon Capital Services, Inc.",Department of Wildlife,Department of Wildlife,Jennifer Miller,3PS - Sent,06/18/2025,$36.99
https://nevadaepro.com/bso/external/purchaseorder/poSummary.sdo?docId=99SWC-NV25-25281&releaseNbr=735&external=true&parentUrl=close,PO #99SWC-NV25-25281:735,G2B #99SWC-NV25-25281,"Amazon Capital Services, Inc.",Department of Administration,DOA Director's Office,Cheryl Curtis,3PCR - Complete Receipt,06/18/2025,$29.88
https://nevadaepro.com/bso/external/purchaseorder/poSummary.sdo?docId=99SWC-NV25-25281&releaseNbr=736&external=true&parentUrl=close,PO #99SWC-NV25-25281:736,G2B #99SWC-NV25-25281,"Amazon Capital Services, Inc.",Department of Human Services,Division of Child and Family Services,Taraea Williams,3PS - Sent,06/18/2025,$440.80
https://nevadaepro.com/bso/external/purchaseorder/poSummary.sdo?docId=99SWC-NV25-25281&releaseNbr=737&external=true&parentUrl=close,PO #99SWC-NV25-25281:737,G2B #99SWC-NV25-25281,"Amazon Capital Services, Inc.",Department of Wildlife,Department of Wildlife,Brandon Craig,3PS - Sent,06/18/2025,"$2,471.36"
