PO #,PO #,Description,Vendor,Organization,Department,Buyer,Status,Sent Date,Total
https://nevadaepro.com/bso/external/purchaseorder/poSummary.sdo?docId=99SWC-NV23-15341&releaseNbr=89&external=true&parentUrl=close,PO #99SWC-NV23-15341:89,G2B From Staples Advantage,Staples Advantage,Department of Human Services,Division of Child and Family Services,Merlita Phillips,3PS - Sent,04/13/2023,$769.34
https://nevadaepro.com/bso/external/purchaseorder/poSummary.sdo?docId=99SWC-NV23-15341&releaseNbr=90&external=true&parentUrl=close,PO #99SWC-NV23-15341:90,G2B From Staples Advantage,Staples Advantage,Department of Motor Vehicles,Department of Motor Vehicles,Shauna Dennis,3PS - Sent,04/13/2023,$842.97
https://nevadaepro.com/bso/external/purchaseorder/poSummary.sdo?docId=99SWC-NV23-15341&releaseNbr=91&external=true&parentUrl=close,PO #99SWC-NV23-15341:91,G2B From Staples Advantage,Staples Advantage,Department of Public Safety,DPS Director's Office,Heather Brazil,3PS - Sent,04/13/2023,$157.93
https://nevadaepro.com/bso/external/purchaseorder/poSummary.sdo?docId=99SWC-NV23-15341&releaseNbr=92&external=true&parentUrl=close,PO #99SWC-NV23-15341:92,G2B From Staples Advantage,Staples Advantage,Department of Public Safety,DPS Director's Office,Heather Brazil,3PS - Sent,04/13/2023,$131.41
https://nevadaepro.com/bso/external/purchaseorder/poSummary.sdo?docId=99SWC-NV23-15341&releaseNbr=93&external=true&parentUrl=close,PO #99SWC-NV23-15341:93,G2B From Staples Advantage,Staples Advantage,Department of Public Safety,DPS Director's Office,Heather Brazil,3PS - Sent,04/13/2023,$81.66
https://nevadaepro.com/bso/external/purchaseorder/poSummary.sdo?docId=99SWC-NV23-15341&releaseNbr=94&external=true&parentUrl=close,PO #99SWC-NV23-15341:94,G2B From Staples Advantage,Staples Advantage,Department of Human Services,Public and Behavioral Health,Stacy McCool,3PS - Sent,04/13/2023,"$1,546.28"
https://nevadaepro.com/bso/external/purchaseorder/poSummary.sdo?docId=99SWC-NV23-15341&releaseNbr=95&external=true&parentUrl=close,PO #99SWC-NV23-15341:95,Staples Advantage - Winnemucca,Staples Advantage,Department of Human Services,Public and Behavioral Health,Goldie Ignatich,3PS - Sent,04/14/2023,$408.74
https://nevadaepro.com/bso/external/purchaseorder/poSummary.sdo?docId=99SWC-NV23-15341&releaseNbr=96&external=true&parentUrl=close,PO #99SWC-NV23-15341:96,Staples Advantage - Pahrump,Staples Advantage,Department of Human Services,Public and Behavioral Health,Goldie Ignatich,3PS - Sent,04/14/2023,$508.75
https://nevadaepro.com/bso/external/purchaseorder/poSummary.sdo?docId=99SWC-NV23-15341&releaseNbr=97&external=true&parentUrl=close,PO #99SWC-NV23-15341:97,G2B From Staples Advantage,Staples Advantage,Department of Motor Vehicles,Department of Motor Vehicles,SHEFAWN PHILLIPS,3PCR - Complete Receipt,04/14/2023,"$1,166.10"
https://nevadaepro.com/bso/external/purchaseorder/poSummary.sdo?docId=99SWC-NV23-15341&releaseNbr=98&external=true&parentUrl=close,PO #99SWC-NV23-15341:98,G2B From Staples Advantage,Staples Advantage,Department of Motor Vehicles,Department of Motor Vehicles,SHEFAWN PHILLIPS,3PPR - Partial Receipt,04/14/2023,"$1,782.66"
https://nevadaepro.com/bso/external/purchaseorder/poSummary.sdo?docId=99SWC-NV23-15341&releaseNbr=99&external=true&parentUrl=close,PO #99SWC-NV23-15341:99,FLAMINGO-DOOR STOPPERS-Staples Advantage,Staples Advantage,Department of Motor Vehicles,Department of Motor Vehicles,Julia Chulay,3PS - Sent,04/14/2023,$17.58
https://nevadaepro.com/bso/external/purchaseorder/poSummary.sdo?docId=99SWC-NV23-15341&releaseNbr=100&external=true&parentUrl=close,PO #99SWC-NV23-15341:100,DONOVAN-LAMINATING POUCHES- Staples Advantage,Staples Advantage,Department of Motor Vehicles,Department of Motor Vehicles,Julia Chulay,3PS - Sent,04/14/2023,$20.32
https://nevadaepro.com/bso/external/purchaseorder/poSummary.sdo?docId=99SWC-NV23-15341&releaseNbr=101&external=true&parentUrl=close,PO #99SWC-NV23-15341:101,CARSON CITY-POST ITS 3X5-SCOTCH TAPE-PAPERCLIPS-CORRECTION TAPE Staples Advantage,Staples Advantage,Department of Motor Vehicles,Department of Motor Vehicles,Julia Chulay,3PS - Sent,04/14/2023,$65.17
https://nevadaepro.com/bso/external/purchaseorder/poSummary.sdo?docId=99SWC-NV23-15341&releaseNbr=102&external=true&parentUrl=close,PO #99SWC-NV23-15341:102,SAHARA-FIRST AID REFILL KIT- Staples Advantage,Staples Advantage,Department of Motor Vehicles,Department of Motor Vehicles,Julia Chulay,3PS - Sent,04/14/2023,$34.87
https://nevadaepro.com/bso/external/purchaseorder/poSummary.sdo?docId=99SWC-NV23-15341&releaseNbr=103&external=true&parentUrl=close,PO #99SWC-NV23-15341:103,DECATUR-BAND AIDS-4 BOXES-Staples Advantage,Staples Advantage,Department of Motor Vehicles,Department of Motor Vehicles,Julia Chulay,3PS - Sent,04/14/2023,$24.12
https://nevadaepro.com/bso/external/purchaseorder/poSummary.sdo?docId=99SWC-NV23-15341&releaseNbr=104&external=true&parentUrl=close,PO #99SWC-NV23-15341:104,RENO-BINDERS (30)-HIGHLIGHTERS (YELLOW) 2BXS- Staples Advantage,Staples Advantage,Department of Motor Vehicles,Department of Motor Vehicles,Julia Chulay,3PS - Sent,04/14/2023,$146.62
https://nevadaepro.com/bso/external/purchaseorder/poSummary.sdo?docId=99SWC-NV23-15341&releaseNbr=105&external=true&parentUrl=close,PO #99SWC-NV23-15341:105,RENO CDL-MECHANICAL PENCILS-5 CLIPBOARDS- Staples Advantage,Staples Advantage,Department of Motor Vehicles,Department of Motor Vehicles,Julia Chulay,3PS - Sent,04/14/2023,$11.96
https://nevadaepro.com/bso/external/purchaseorder/poSummary.sdo?docId=99SWC-NV23-15341&releaseNbr=106&external=true&parentUrl=close,PO #99SWC-NV23-15341:106,Lexmark toners,Staples Advantage,Department of Motor Vehicles,Department of Motor Vehicles,Sonja Rogers,3PS - Sent,04/14/2023,$789.54
https://nevadaepro.com/bso/external/purchaseorder/poSummary.sdo?docId=99SWC-NV23-15341&releaseNbr=107&external=true&parentUrl=close,PO #99SWC-NV23-15341:107,RENO-BINDERS & PAPER CLIPS (PURPLE) G2B From Staples Advantage,Staples Advantage,Department of Motor Vehicles,Department of Motor Vehicles,Julia Chulay,3PS - Sent,04/14/2023,$36.64
https://nevadaepro.com/bso/external/purchaseorder/poSummary.sdo?docId=99SWC-NV23-15341&releaseNbr=108&external=true&parentUrl=close,PO #99SWC-NV23-15341:108,G2B From Staples Advantage,Staples Advantage,Department of Human Services,Division of Child and Family Services,Oscar Cheuquian,3PS - Sent,04/14/2023,"$1,224.80"
https://nevadaepro.com/bso/external/purchaseorder/poSummary.sdo?docId=99SWC-NV23-15341&releaseNbr=109&external=true&parentUrl=close,PO #99SWC-NV23-15341:109,G2B From Staples Advantage,Staples Advantage,Department of Human Services,Public and Behavioral Health,Stacy McCool,3PS - Sent,04/14/2023,"$1,680.31"
https://nevadaepro.com/bso/external/purchaseorder/poSummary.sdo?docId=99SWC-NV23-15341&releaseNbr=110&external=true&parentUrl=close,PO #99SWC-NV23-15341:110,G2B From Staples Advantage,Staples Advantage,Department of Human Services,Social Services,Ieshia Burley,3PPR - Partial Receipt,04/14/2023,$914.52
https://nevadaepro.com/bso/external/purchaseorder/poSummary.sdo?docId=99SWC-NV23-15341&releaseNbr=111&external=true&parentUrl=close,PO #99SWC-NV23-15341:111,G2B From Staples Advantage,Staples Advantage,Department of Human Services,Social Services,Annalyse Klekar,3PCO - Closed,04/14/2023,$149.30
https://nevadaepro.com/bso/external/purchaseorder/poSummary.sdo?docId=99SWC-NV23-15341&releaseNbr=112&external=true&parentUrl=close,PO #99SWC-NV23-15341:112,G2B From Staples Advantage,Staples Advantage,Department of Human Services,Social Services,Maria Andrade,3PCO - Closed,04/14/2023,$623.93
https://nevadaepro.com/bso/external/purchaseorder/poSummary.sdo?docId=99SWC-NV23-15341&releaseNbr=113&external=true&parentUrl=close,PO #99SWC-NV23-15341:113,G2B From Staples Advantage,Staples Advantage,Department of Human Services,Social Services,Kimiko Mayeda,3PCO - Closed,04/14/2023,$188.14
https://nevadaepro.com/bso/external/purchaseorder/poSummary.sdo?docId=99SWC-NV23-15341&releaseNbr=114&external=true&parentUrl=close,PO #99SWC-NV23-15341:114,G2B From Staples Advantage,Staples Advantage,Department of Human Services,Social Services,Hilda Munoz-Marquez,3PCO - Closed,04/14/2023,$96.46
https://nevadaepro.com/bso/external/purchaseorder/poSummary.sdo?docId=99SWC-NV23-15341&releaseNbr=115&external=true&parentUrl=close,PO #99SWC-NV23-15341:115,Staples - TONER,Staples Advantage,Department of Human Services,Social Services,Danielle Greene,3PCO - Closed,04/14/2023,"$1,129.80"
https://nevadaepro.com/bso/external/purchaseorder/poSummary.sdo?docId=99SWC-NV23-15341&releaseNbr=116&external=true&parentUrl=close,PO #99SWC-NV23-15341:116,Northern Dispatch End of Year - Tiffany Alexander,Staples Advantage,Department of Public Safety,"Records, Communications and Compliance",Tiffany Alexander,3PS - Sent,04/14/2023,$827.61
https://nevadaepro.com/bso/external/purchaseorder/poSummary.sdo?docId=99SWC-NV23-15341&releaseNbr=117&external=true&parentUrl=close,PO #99SWC-NV23-15341:117,NCU-R.Mansi,Staples Advantage,Department of Public Safety,"Records, Communications and Compliance",Raymond Mansi,3PS - Sent,04/14/2023,$84.90
